epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,501.841,0.53978,0.42801,1.048,0.9573,0.97262,0.9927,0.92692,0.41586,0.31931,0.91434,0.000307,0.000307,0.000307
44,513.692,0.50904,0.39457,1.02996,0.95697,0.96731,0.9887,0.91848,0.43602,0.33417,0.92958,0.0002905,0.0002905,0.0002905
45,525.349,0.48561,0.39332,1.02404,0.95747,0.97051,0.98997,0.91452,0.40991,0.33102,0.94608,0.000274,0.000274,0.000274
46,536.76,0.4965,0.40115,1.02789,0.94425,0.98464,0.99329,0.91911,0.43575,0.29718,0.95993,0.0002575,0.0002575,0.0002575
47,548.474,0.46446,0.36664,0.99481,0.94724,0.96792,0.99417,0.93523,0.40697,0.27117,0.91165,0.000241,0.000241,0.000241
48,560.232,0.4838,0.37609,1.0184,0.94658,0.98993,0.99036,0.92201,0.38987,0.28461,0.90731,0.0002245,0.0002245,0.0002245
49,571.844,0.47064,0.36409,1.01216,0.96825,0.94973,0.99375,0.93856,0.38357,0.28814,0.89709,0.000208,0.000208,0.000208
50,583.116,0.47432,0.36375,1.02142,0.9423,0.98117,0.99191,0.92313,0.4006,0.2908,0.91426,0.0001915,0.0001915,0.0001915
51,597.385,0.35317,0.28389,0.93867,0.93973,0.96936,0.98874,0.89928,0.40329,0.3009,0.92197,0.000175,0.000175,0.000175
52,608.171,0.33319,0.25797,0.91466,0.94343,0.9902,0.99011,0.91795,0.39657,0.28289,0.93035,0.0001585,0.0001585,0.0001585
53,619.241,0.34451,0.26117,0.91451,0.9472,0.9902,0.98845,0.93622,0.40556,0.31142,0.92909,0.000142,0.000142,0.000142
54,630.545,0.32383,0.23607,0.91567,0.93177,0.9831,0.9891,0.93722,0.39468,0.28863,0.91712,0.0001255,0.0001255,0.0001255
55,641.733,0.32325,0.23907,0.90918,0.93475,0.98323,0.98671,0.91888,0.40909,0.30176,0.94506,0.000109,0.000109,0.000109
56,653.055,0.31635,0.23877,0.90305,0.93603,0.98281,0.98716,0.93058,0.39034,0.28563,0.93192,9.25e-05,9.25e-05,9.25e-05
57,664.46,0.31629,0.24032,0.89729,0.9266,0.9838,0.98716,0.92594,0.39387,0.28612,0.92835,7.6e-05,7.6e-05,7.6e-05
58,675.984,0.32173,0.23709,0.90649,0.96839,0.93398,0.96648,0.90989,0.38443,0.2873,0.92951,5.95e-05,5.95e-05,5.95e-05
59,686.946,0.30105,0.21354,0.89418,0.95644,0.92182,0.96836,0.90918,0.38113,0.2866,0.91838,4.3e-05,4.3e-05,4.3e-05
60,697.814,0.2963,0.22083,0.88954,0.95396,0.92182,0.96595,0.90712,0.38473,0.28192,0.92046,2.65e-05,2.65e-05,2.65e-05
